Simulation,Agent,Episode,Reward
0,0,174,12.0
0,1,174,23.0
0,2,174,25.0
0,3,174,16.0
0,4,174,23.0
0,0,175,9.0
0,1,175,14.0
0,2,175,13.0
0,3,175,27.0
0,4,175,11.0
0,0,176,15.0
0,1,176,25.0
0,2,176,9.0
0,3,176,31.0
0,4,176,13.0
0,0,177,22.0
0,1,177,12.0
0,2,177,12.0
0,3,177,29.0
0,4,177,25.0
0,0,178,14.0
0,1,178,11.0
0,2,178,17.0
0,3,178,58.0
0,4,178,46.0
0,0,179,32.0
0,1,179,42.0
0,2,179,53.0
0,3,179,26.0
0,4,179,36.0
0,0,180,18.0
0,1,180,14.0
0,2,180,13.0
0,3,180,14.0
0,4,180,16.0
0,0,181,15.0
0,1,181,11.0
0,2,181,34.0
0,3,181,22.0
0,4,181,28.0
0,0,182,15.0
0,1,182,12.0
0,2,182,33.0
0,3,182,14.0
0,4,182,19.0
0,0,183,43.0
0,1,183,24.0
0,2,183,22.0
0,3,183,12.0
0,4,183,16.0
0,0,184,37.0
0,1,184,22.0
0,2,184,8.0
0,3,184,12.0
0,4,184,17.0
0,0,185,41.0
0,1,185,16.0
0,2,185,16.0
0,3,185,21.0
0,4,185,11.0
0,0,186,11.0
0,1,186,20.0
0,2,186,14.0
0,3,186,21.0
0,4,186,12.0
0,0,187,14.0
0,1,187,12.0
0,2,187,11.0
0,3,187,11.0
0,4,187,13.0
0,0,188,55.0
0,1,188,36.0
0,2,188,43.0
0,3,188,16.0
0,4,188,14.0
0,0,189,24.0
0,1,189,20.0
0,2,189,20.0
0,3,189,20.0
0,4,189,19.0
0,0,190,18.0
0,1,190,14.0
0,2,190,12.0
0,3,190,18.0
0,4,190,23.0
0,0,191,30.0
0,1,191,22.0
0,2,191,18.0
0,3,191,12.0
0,4,191,26.0
0,0,192,21.0
0,1,192,26.0
0,2,192,39.0
0,3,192,13.0
0,4,192,79.0
0,0,193,30.0
0,1,193,13.0
0,2,193,12.0
0,3,193,13.0
0,4,193,14.0
0,0,194,62.0
0,1,194,25.0
0,2,194,47.0
0,3,194,34.0
0,4,194,18.0
0,0,195,19.0
0,1,195,15.0
0,2,195,11.0
0,3,195,11.0
0,4,195,11.0
0,0,196,18.0
0,1,196,19.0
0,2,196,14.0
0,3,196,45.0
0,4,196,15.0
0,0,197,20.0
0,1,197,13.0
0,2,197,15.0
0,3,197,27.0
0,4,197,28.0
0,0,198,19.0
0,1,198,20.0
0,2,198,14.0
0,3,198,18.0
0,4,198,32.0
0,0,199,31.0
0,1,199,41.0
0,2,199,40.0
0,3,199,21.0
0,4,199,11.0
0,0,200,43.0
0,1,200,17.0
0,2,200,18.0
0,3,200,22.0
0,4,200,36.0
0,0,201,49.0
0,1,201,43.0
0,2,201,21.0
0,3,201,12.0
0,4,201,53.0
0,0,202,20.0
0,1,202,13.0
0,2,202,12.0
0,3,202,19.0
0,4,202,13.0
0,0,203,16.0
0,1,203,11.0
0,2,203,25.0
0,3,203,25.0
0,4,203,11.0
0,0,204,20.0
0,1,204,16.0
0,2,204,18.0
0,3,204,21.0
0,4,204,26.0
0,0,205,16.0
0,1,205,10.0
0,2,205,20.0
0,3,205,29.0
0,4,205,22.0
0,0,206,24.0
0,1,206,11.0
0,2,206,17.0
0,3,206,24.0
0,4,206,21.0
0,0,207,23.0
0,1,207,25.0
0,2,207,17.0
0,3,207,10.0
0,4,207,26.0
0,0,208,25.0
0,1,208,35.0
0,2,208,13.0
0,3,208,17.0
0,4,208,14.0
0,0,209,13.0
0,1,209,20.0
0,2,209,46.0
0,3,209,36.0
0,4,209,23.0
0,0,210,31.0
0,1,210,19.0
0,2,210,21.0
0,3,210,21.0
0,4,210,16.0
0,0,211,9.0
0,1,211,12.0
0,2,211,13.0
0,3,211,33.0
0,4,211,31.0
0,0,212,24.0
0,1,212,28.0
0,2,212,26.0
0,3,212,12.0
0,4,212,35.0
0,0,213,13.0
0,1,213,13.0
0,2,213,16.0
0,3,213,27.0
0,4,213,9.0
0,0,214,15.0
0,1,214,14.0
0,2,214,31.0
0,3,214,24.0
0,4,214,13.0
0,0,215,16.0
0,1,215,15.0
0,2,215,20.0
0,3,215,14.0
0,4,215,10.0
0,0,216,10.0
0,1,216,16.0
0,2,216,18.0
0,3,216,14.0
0,4,216,45.0
0,0,217,18.0
0,1,217,30.0
0,2,217,16.0
0,3,217,24.0
0,4,217,17.0
0,0,218,14.0
0,1,218,14.0
0,2,218,12.0
0,3,218,17.0
0,4,218,12.0
0,0,219,23.0
0,1,219,34.0
0,2,219,10.0
0,3,219,22.0
0,4,219,13.0
0,0,220,21.0
0,1,220,9.0
0,2,220,26.0
0,3,220,45.0
0,4,220,20.0
0,0,221,18.0
0,1,221,21.0
0,2,221,17.0
0,3,221,15.0
0,4,221,10.0
0,0,222,12.0
0,1,222,10.0
0,2,222,22.0
0,3,222,30.0
0,4,222,21.0
0,0,223,20.0
0,1,223,32.0
0,2,223,26.0
0,3,223,11.0
0,4,223,19.0
0,0,224,15.0
0,1,224,15.0
0,2,224,12.0
0,3,224,13.0
0,4,224,29.0
0,0,225,23.0
0,1,225,19.0
0,2,225,16.0
0,3,225,12.0
0,4,225,22.0
0,0,226,13.0
0,1,226,16.0
0,2,226,31.0
0,3,226,17.0
0,4,226,16.0
0,0,227,29.0
0,1,227,16.0
0,2,227,11.0
0,3,227,38.0
0,4,227,22.0
0,0,228,15.0
0,1,228,22.0
0,2,228,10.0
0,3,228,27.0
0,4,228,12.0
0,0,229,21.0
0,1,229,11.0
0,2,229,23.0
0,3,229,13.0
0,4,229,27.0
0,0,230,14.0
0,1,230,13.0
0,2,230,16.0
0,3,230,27.0
0,4,230,29.0
0,0,231,13.0
0,1,231,13.0
0,2,231,24.0
0,3,231,26.0
0,4,231,15.0
0,0,232,13.0
0,1,232,13.0
0,2,232,17.0
0,3,232,14.0
0,4,232,12.0
0,0,233,16.0
0,1,233,11.0
0,2,233,14.0
0,3,233,15.0
0,4,233,14.0
0,0,234,17.0
0,1,234,13.0
0,2,234,18.0
0,3,234,21.0
0,4,234,19.0
0,0,235,18.0
0,1,235,16.0
0,2,235,42.0
0,3,235,14.0
0,4,235,14.0
0,0,236,21.0
0,1,236,10.0
0,2,236,9.0
0,3,236,32.0
0,4,236,11.0
0,0,237,21.0
0,1,237,23.0
0,2,237,22.0
0,3,237,37.0
0,4,237,15.0
0,0,238,11.0
0,1,238,15.0
0,2,238,33.0
0,3,238,43.0
0,4,238,10.0
0,0,239,18.0
0,1,239,32.0
0,2,239,35.0
0,3,239,16.0
0,4,239,20.0
0,0,240,13.0
0,1,240,14.0
0,2,240,41.0
0,3,240,12.0
0,4,240,17.0
0,0,241,54.0
0,1,241,16.0
0,2,241,10.0
0,3,241,30.0
0,4,241,23.0
0,0,242,21.0
0,1,242,29.0
0,2,242,9.0
0,3,242,24.0
0,4,242,9.0
0,0,243,53.0
0,1,243,11.0
0,2,243,21.0
0,3,243,23.0
0,4,243,14.0
0,0,244,35.0
0,1,244,25.0
0,2,244,11.0
0,3,244,13.0
0,4,244,55.0
0,0,245,16.0
0,1,245,15.0
0,2,245,38.0
0,3,245,12.0
0,4,245,16.0
0,0,246,9.0
0,1,246,10.0
0,2,246,13.0
0,3,246,19.0
0,4,246,24.0
0,0,247,19.0
0,1,247,13.0
0,2,247,18.0
0,3,247,15.0
0,4,247,17.0
0,0,248,45.0
0,1,248,31.0
0,2,248,10.0
0,3,248,16.0
0,4,248,28.0
0,0,249,9.0
0,1,249,15.0
0,2,249,51.0
0,3,249,32.0
0,4,249,13.0
0,0,250,31.0
0,1,250,20.0
0,2,250,18.0
0,3,250,13.0
0,4,250,21.0
0,0,251,9.0
0,1,251,11.0
0,2,251,14.0
0,3,251,34.0
0,4,251,29.0
0,0,252,53.0
0,1,252,11.0
0,2,252,21.0
0,3,252,15.0
0,4,252,27.0
0,0,253,13.0
0,1,253,52.0
0,2,253,14.0
0,3,253,19.0
0,4,253,20.0
0,0,254,26.0
0,1,254,15.0
0,2,254,31.0
0,3,254,19.0
0,4,254,13.0
0,0,255,29.0
0,1,255,17.0
0,2,255,39.0
0,3,255,29.0
0,4,255,35.0
0,0,256,19.0
0,1,256,13.0
0,2,256,12.0
0,3,256,34.0
0,4,256,11.0
0,0,257,46.0
0,1,257,24.0
0,2,257,19.0
0,3,257,22.0
0,4,257,20.0
0,0,258,24.0
0,1,258,27.0
0,2,258,12.0
0,3,258,20.0
0,4,258,10.0
0,0,259,19.0
0,1,259,10.0
0,2,259,29.0
0,3,259,31.0
0,4,259,16.0
0,0,260,13.0
0,1,260,21.0
0,2,260,65.0
0,3,260,18.0
0,4,260,36.0
0,0,261,17.0
0,1,261,15.0
0,2,261,31.0
0,3,261,25.0
0,4,261,15.0
0,0,262,9.0
0,1,262,23.0
0,2,262,32.0
0,3,262,21.0
0,4,262,30.0
0,0,263,17.0
0,1,263,17.0
0,2,263,22.0
0,3,263,38.0
0,4,263,15.0
0,0,264,15.0
0,1,264,15.0
0,2,264,26.0
0,3,264,24.0
0,4,264,10.0
0,0,265,24.0
0,1,265,17.0
0,2,265,28.0
0,3,265,10.0
0,4,265,20.0
0,0,266,19.0
0,1,266,19.0
0,2,266,16.0
0,3,266,23.0
0,4,266,19.0
0,0,267,13.0
0,1,267,11.0
0,2,267,49.0
0,3,267,28.0
0,4,267,12.0
0,0,268,26.0
0,1,268,15.0
0,2,268,15.0
0,3,268,27.0
0,4,268,14.0
0,0,269,16.0
0,1,269,12.0
0,2,269,17.0
0,3,269,35.0
0,4,269,22.0
0,0,270,16.0
0,1,270,19.0
0,2,270,25.0
0,3,270,29.0
0,4,270,14.0
0,0,271,27.0
0,1,271,14.0
0,2,271,31.0
0,3,271,15.0
0,4,271,18.0
0,0,272,21.0
0,1,272,10.0
0,2,272,12.0
0,3,272,13.0
0,4,272,17.0
0,0,273,12.0
0,1,273,21.0
0,2,273,20.0
0,3,273,36.0
0,4,273,23.0
0,0,274,12.0
0,1,274,20.0
0,2,274,9.0
0,3,274,48.0
0,4,274,10.0
0,0,275,16.0
0,1,275,28.0
0,2,275,11.0
0,3,275,9.0
0,4,275,14.0
0,0,276,11.0
0,1,276,16.0
0,2,276,28.0
0,3,276,26.0
0,4,276,22.0
0,0,277,18.0
0,1,277,15.0
0,2,277,12.0
0,3,277,12.0
0,4,277,28.0
0,0,278,33.0
0,1,278,15.0
0,2,278,19.0
